Solar Panel,Solinc Solar Panel,Polycrystalline,The Green Camel,7500,120,12,7,
Solar Panel,Amerisolar Panel,Monocrystalline,The Green Camel,12000,285,24,9,
Solar Panel,Solinc Solar Panel,Polycrystalline,The Green Camel,14500,345,24,10,
Solar Panel,Roomny Solar Panel,Monocrystalline,The Green Camel,18000,450,24,14,
Solar Panel,Jinko,Polycrystalline,The Green Camel,17000,405,24,14,
Solar Panel,Suntech,Monocrystalline,The Green Camel,16500,330,24,9,
Solar Panel,Futurasun,Monocrystalline,The Green Camel,16500,360,24,12,
Solar Panel,Futurasun,Monocrystalline,The Green Camel,18600,440,24,14,
Solar Panel,Jinko,Monocrystalline,The Green Camel,21000,470,24,14,
Solar Panel,Jinko,Monocrystalline,The Green Camel,22600,540,24,14,
Solar Panel,YL535 Mono,Monocrystalline,Davis & Shirtliff,28980,535,24,14,
Solar Panel,TPS125,Monocrystalline,Davis & Shirtliff,8190,125,12,7,
Solar Panel,TPS200,Monocrystalline,Davis & Shirtliff,14868,200,24,6,
Solar Panel,TPS160,Monocrystalline,Davis & Shirtliff,10530,160,24,4,
Inverter,Must PV1800,String Inverter,The Green Camel,28000,1000,12,,
Inverter,Must PV1800,String Inverter,The Green Camel,60000,3000,24,,
Inverter,Must PV1800,String Inverter,The Green Camel,90000,5000,48,,
Inverter,TBB inverter,String Inverter,The Green Camel,48000,2000,24,,
Inverter,HT-E-2000,String Inverter,Davis & Shirtliff,52000,2000,12,,
Inverter,HT-E-2000,String Inverter,Davis & Shirtliff,26350,1000,12,,
Inverter,Growatt,String Inverter,Davis & Shirtliff,68400,3000,24,,
Inverter,Growatt,String Inverter,Davis & Shirtliff,100800,5000,48,,
Inverter,Vispra,String Inverter,Davis & Shirtliff,122000,5000,48,,
Battery,NP100-12-L,Lead Acid Battery,Davis & Shirtliff,20700,,12,,100
Battery,NP150-12-L,Lead Acid Battery,Davis & Shirtliff,30780,,12,,150
Battery,NP200-12-L,Lead Acid Battery,Davis & Shirtliff,40050,,12,,200
Battery,LI-4875,Lithium Ion Battery,Davis & Shirtliff,292500,,12,,100
Charge Controller,Ep Solar MPPT,Maximum Power Point Tracking (MPPT),The Green camel,32000,,,30,
Charge Controller,Ep Solar MPPT,Maximum Power Point Tracking (MPPT),The Green camel,65000,,,60,
Charge Controller,Tristar,Maximum Power Point Tracking (MPPT),The Green camel,32000,,,30,
Charge Controller,Ep Solar MPPT,Maximum Power Point Tracking (MPPT),The Green camel,68000,,,60,
Charge Controller,Outback FM 80A,Maximum Power Point Tracking (MPPT),The Green Camel,105000,,,80,
