Baringo,5.82
Bomet,5.35
Bungoma,4.16
Busia,5.86
Elgeyo-Marakwet,5.32
Embu,4.28
Garissa,4.94
Homa Bay,5.68
Isiolo,5.65
Kajiado,5.22
Kakamega,5.97
Kericho,5.38
Kiambu,4.99
Kilifi,4.89
Kirinyaga,4.01
Kisii,5.82
Kisumu,6.49
Kitui,5.11
Kwale,5.09
Laikipia,5.98
Lamu,5.06
Machakos,5.23
Makueni,5.12
Mandera,5.19
Marsabit,5.06
Meru,4.75
Migori,5.94
Mombasa,5.34
Murang'a,4.98
Nairobi,5.18
Nakuru,5.51
Nandi,5.62
Narok,5.39
Nyamira,5.81
Nyandarua,4.99
Nyeri,4.43
Samburu,5.38
Siaya,6.14
Taita–Taveta,4.94
Tana River,4.89
Tharaka-Nithi,4.57
Trans-Nzoia,4.99
Turkana,5.42
Uasin Gishu,5.70
Vihiga,6.11
Wajir,5.08
West Pokot,5.41
